location,date,levels
Afghanistan,2021-11-20,0
Albania,2021-11-20,1
Algeria,2021-11-20,0
Andorra,2021-11-20,1
Angola,2021-11-20,0
Anguilla,2021-11-19,0
Antigua and Barbuda,2021-11-20,1
Argentina,2021-11-20,1
Armenia,2021-11-20,1
Aruba,2021-11-20,1
Australia,2021-11-20,1
Austria,2021-11-20,1
Azerbaijan,2021-11-20,1
Bahamas,2021-11-20,1
Bahrain,2021-11-20,1
Bangladesh,2021-11-20,0
Barbados,2021-11-20,1
Belarus,2021-11-20,1
Belgium,2021-11-20,1
Belize,2021-11-20,1
Benin,2021-11-20,0
Bermuda,2021-11-05,0
Bhutan,2021-11-20,0
Bolivia,2021-11-20,1
Bonaire Sint Eustatius and Saba,2021-09-01,0
Bosnia and Herzegovina,2021-11-20,1
Botswana,2021-11-20,1
Brazil,2021-11-20,1
British Virgin Islands,2021-11-12,1
Brunei,2021-11-20,1
Bulgaria,2021-11-20,1
Burkina Faso,2021-11-20,0
Burundi,2021-11-20,0
Cambodia,2021-11-20,0
Cameroon,2021-11-20,0
Canada,2021-11-20,1
Cape Verde,2021-11-20,0
Cayman Islands,2021-11-12,0
Central African Republic,2021-11-20,0
Chad,2021-11-20,0
Chile,2021-11-20,1
China,2021-11-20,1
Colombia,2021-11-20,1
Comoros,2021-11-20,0
Congo,2021-11-20,0
Cook Islands,2021-11-08,0
Costa Rica,2021-11-20,1
Cote d'Ivoire,2021-11-20,0
Croatia,2021-11-20,1
Cuba,2021-11-20,1
Curacao,2021-11-20,1
Cyprus,2021-11-20,1
Czechia,2021-11-20,1
Democratic Republic of Congo,2021-11-20,0
Denmark,2021-11-20,1
Djibouti,2021-11-20,0
Dominica,2021-11-20,1
Dominican Republic,2021-11-20,0
Ecuador,2021-11-20,1
Egypt,2021-11-20,0
El Salvador,2021-11-20,0
Equatorial Guinea,2021-11-20,0
Eritrea,2021-11-20,0
Estonia,2021-11-20,1
Eswatini,2021-11-20,0
Ethiopia,2021-11-20,0
Faeroe Islands,2021-11-05,2
Falkland Islands,2021-04-14,2
Fiji,2021-11-20,2
Finland,2021-11-20,1
France,2021-11-20,1
French Polynesia,2021-11-15,1
Gabon,2021-11-20,0
Gambia,2021-11-20,0
Georgia,2021-11-20,1
Germany,2021-11-20,1
Ghana,2021-11-20,0
Gibraltar,2021-11-18,0
Greece,2021-11-20,1
Greenland,2021-11-04,1
Grenada,2021-11-20,1
Guatemala,2021-11-20,0
Guernsey,2021-11-15,0
Guinea,2021-11-20,0
Guinea-Bissau,2021-11-20,0
Guyana,2021-11-20,0
Haiti,2021-11-20,0
Honduras,2021-11-20,2
Hong Kong,2021-11-20,1
Hungary,2021-11-20,1
Iceland,2021-11-20,1
India,2021-11-20,2
